strategy,symbol,total_return,sharpe_ratio,max_drawdown,win_rate,total_trades,data_points
BOLLINGER,090460,3.3775870669513943,5.08183496270069,0.022745624970285053,100.0,5,81
BOLLINGER,005880,2.502327999599348,4.912837883344224,0.022925656811571667,57.14285714285714,7,81
MACD,139130,2.3271545750452205,4.514806694976239,0.0,100.0,3,81
BOLLINGER,192080,2.0809655540975975,4.499377083209322,0.0,100.0,4,81
BOLLINGER,012800,1.8516579366654622,4.358160931386119,0.02270910691217898,75.0,4,81
BOLLINGER,004545,1.5411966782330653,4.343440053581129,0.035303406034515775,100.0,5,81
BOLLINGER,014530,1.8708472246696009,4.326323465897924,0.0,100.0,3,81
BOLLINGER,005250,2.2283074624749366,4.3219135614705975,0.06843873669295253,60.0,5,81
BOLLINGER,003547,2.069602110195381,4.198709308335104,0.022740504846099775,100.0,3,81
BOLLINGER,066575,1.2645136571649929,4.180643873193541,0.022915692672076136,75.0,4,81
BOLLINGER,025000,1.6414617864741827,4.145622605646544,0.02282033246095702,100.0,3,81
BOLLINGER,008420,2.034628142860916,4.019235342928584,0.022749409091611283,80.0,5,81
BOLLINGER,003580,1.57151145986896,3.9911181446069732,0.022848595250207306,100.0,3,81
BOLLINGER,339770,3.113284949575283,3.970636449796192,0.02262909335173035,100.0,4,81
BOLLINGER,023150,0.5470236195655773,3.9684402693933705,0.022915734465565718,100.0,3,81
BOLLINGER,016380,3.0993085005334695,3.9460162816363784,0.022600208561116584,100.0,4,81
BOLLINGER,017900,0.6377827794288286,3.939393397439675,0.02293357138325276,75.0,4,81
BOLLINGER,001065,1.5280843257737577,3.9117304676625766,0.02292244888931825,75.0,4,81
BOLLINGER,006400,4.108647930018604,3.8726695871393346,0.022452076120299206,100.0,4,81
BOLLINGER,024070,1.5852260537060445,3.753675737692112,0.04526167968857499,66.66666666666666,6,81
MACD,008260,1.5061600000000093,3.6418348993996856,0.0,100.0,2,81
MACD,018670,1.5061600000000093,3.6418348993996856,0.0,100.0,2,81
MACD,030720,1.5061600000000093,3.6418348993996856,0.0,100.0,2,81
MACD,181710,1.5061600000000093,3.6418348993996856,0.0,100.0,2,81
MACD,35320K,1.5061600000000093,3.6418348993996856,0.0,100.0,2,81
MA,012510,1.5061600000000093,3.6418348993996856,0.0,100.0,2,81
MA,465770,1.5061599999999977,3.641834899399685,0.0,100.0,2,81
BOLLINGER,095570,1.932559748136159,3.6395799054136164,0.0,100.0,2,81
MACD,007700,1.4372160095865838,3.63806040678348,0.0,100.0,2,81
BOLLINGER,000070,3.301377343358379,3.612758210713779,0.4567648670851834,75.0,4,81
BOLLINGER,004415,0.43195450305221605,3.603059709335672,0.0,50.0,4,81
BOLLINGER,084690,3.0182138753026257,3.60223060033672,0.022683272343876112,100.0,2,81
MACD,085620,1.5061600000000093,3.583398792144196,0.022828086248082934,100.0,2,81
MA,000120,1.5061599999999862,3.583398792144195,0.022828086248082937,100.0,2,81
MACD,005945,1.5926314993481152,3.5832993242503086,0.022808510805553003,100.0,2,81
RSI,003580,1.4982114285714343,3.5831571299253615,0.02265872337205939,100.0,3,81
BOLLINGER,009155,1.9114806332475038,3.572203807301717,0.0,100.0,3,81
BOLLINGER,001685,1.1221653503671987,3.5635458251976795,0.022870628710349852,100.0,2,81
BOLLINGER,108675,0.31312596702990125,3.560849473612172,0.02298771466852961,100.0,3,81
BOLLINGER,002140,1.2193107692307792,3.54201319609471,0.0,100.0,2,81
BOLLINGER,072710,1.9896520726024172,3.541746081553664,0.022811312377428606,100.0,2,81
MA,004000,1.3339162892223801,3.5392247297107775,0.022867179125318667,100.0,2,81
MACD,025530,1.7440716991186607,3.528657546386212,0.022818961264542297,100.0,3,81
MA,004365,1.5061600000000093,3.5268887840174052,0.023,100.0,2,81
BOLLINGER,010950,1.891487114624493,3.5261408407108767,0.022741113545453717,100.0,2,81
MACD,002450,1.4751916027088068,3.5257846272886977,0.022828086248082934,100.0,3,81
MACD,013700,1.3535212099644238,3.5257846272886977,0.022828086248082934,66.66666666666666,3,81
BOLLINGER,058730,1.625259173553728,3.5257846272886977,0.022828086248082934,100.0,3,81
BOLLINGER,090350,1.4601600000000092,3.5257846272886977,0.022828086248082934,66.66666666666666,3,81
BOLLINGER,029780,0.7508847853535321,3.5245608050954202,0.02290989332131302,100.0,2,81
