symbol,total_return,sharpe_ratio,max_drawdown,win_rate,total_trades,composite_score,rank
267250,0,0,0,0,0,0.2,1
267270,0,0,0,0,0,0.2,2
443060,0,0,0,0,0,0.2,3
071970,0,0,0,0,0,0.2,4
010620,0,0,0,0,0,0.2,5
322000,0,0,0,0,0,0.2,6
042670,0,0,0,0,0,0.2,7
267260,0,0,0,0,0,0.2,8
329180,0,0,0,0,0,0.2,9
097230,0,0,0,0,0,0.2,10
016610,0,0,0,0,0,0.2,11
000990,0,0,0,0,0,0.2,12
001530,0,0,0,0,0,0.2,13
000210,0,0,0,0,0,0.2,14
000215,0,0,0,0,0,0.2,15
375500,0,0,0,0,0,0.2,16
37550L,0,0,0,0,0,0.2,17
37550K,0,0,0,0,0,0.2,18
007340,0,0,0,0,0,0.2,19
004840,0,0,0,0,0,0.2,20
095570,0,0,0,0,0,0.2,21
006840,0,0,0,0,0,0.2,22
027410,0,0,0,0,0,0.2,23
282330,0,0,0,0,0,0.2,24
138930,0,0,0,0,0,0.2,25
001460,0,0,0,0,0,0.2,26
001465,0,0,0,0,0,0.2,27
001040,0,0,0,0,0,0.2,28
079160,0,0,0,0,0,0.2,29
00104K,0,0,0,0,0,0.2,30
006360,0,0,0,0,0,0.2,31
001250,0,0,0,0,0,0.2,32
007070,0,0,0,0,0,0.2,33
078935,0,0,0,0,0,0.2,34
499790,0,0,0,0,0,0.2,35
012630,0,0,0,0,0,0.2,36
039570,0,0,0,0,0,0.2,37
089470,0,0,0,0,0,0.2,38
294870,0,0,0,0,0,0.2,39
009540,0,0,0,0,0,0.2,40
014790,0,0,0,0,0,0.2,41
003580,0,0,0,0,0,0.2,42
204320,0,0,0,0,0,0.2,43
060980,0,0,0,0,0,0.2,44
011200,0,0,0,0,0,0.2,45
035000,0,0,0,0,0,0.2,46
002460,0,0,0,0,0,0.2,47
487570,0,0,0,0,0,0.2,48
298050,0,0,0,0,0,0.2,49
015360,0,0,0,0,0,0.2,50
000120,0,0,0,0,0,0.2,51
011150,0,0,0,0,0,0.2,52
011155,0,0,0,0,0,0.2,53
001045,0,0,0,0,0,0.2,54
097950,0,0,0,0,0,0.2,55
097955,0,0,0,0,0,0.2,56
000480,0,0,0,0,0,0.2,57
000590,0,0,0,0,0,0.2,58
012030,0,0,0,0,0,0.2,59
005830,0,0,0,0,0,0.2,60
175330,0,0,0,0,0,0.2,61
234080,0,0,0,0,0,0.2,62
001060,0,0,0,0,0,0.2,63
001067,0,0,0,0,0,0.2,64
001065,0,0,0,0,0,0.2,65
096760,0,0,0,0,0,0.2,66
105560,0,0,0,0,0,0.2,67
415640,0,0,0,0,0,0.2,68
432320,0,0,0,0,0,0.2,69
002380,0,0,0,0,0,0.2,70
155660,0,0,0,0,0,0.2,71
069730,0,0,0,0,0,0.2,72
017860,0,0,0,0,0,0.2,73
092780,0,0,0,0,0,0.2,74
017940,0,0,0,0,0,0.2,75
365550,0,0,0,0,0,0.2,76
383220,0,0,0,0,0,0.2,77
007700,0,0,0,0,0,0.2,78
114090,0,0,0,0,0,0.2,79
078930,0,0,0,0,0,0.2,80
079550,0,0,0,0,0,0.2,81
006260,0,0,0,0,0,0.2,82
010120,0,0,0,0,0,0.2,83
000680,0,0,0,0,0,0.2,84
229640,0,0,0,0,0,0.2,85
108320,0,0,0,0,0,0.2,86
001120,0,0,0,0,0,0.2,87
108670,0,0,0,0,0,0.2,88
108675,0,0,0,0,0,0.2,89
383800,0,0,0,0,0,0.2,90
