종목코드,종목명,시장구분,업종명,종가,대비,등락률,시가총액
"011390","부산산업","KOSPI","비금속","99700","900","0.91","105283200000"
"005030","부산주공","KOSPI","운송장비·부품","486","0","0.00","38288532168"
"002070","비비안","KOSPI","섬유·의류","797","-3","-0.38","36021273369"
"100220","비상교육","KOSPI","오락·문화","7200","100","1.41","93576535200"
"090460","비에이치","KOSPI","전기·전자","12660","50","0.40","436319038140"
"005180","빙그레","KOSPI","음식료·담배","93600","2800","3.08","894413800800"
"003960","사조대림","KOSPI","음식료·담배","45700","3450","8.17","418816141900"
"008040","사조동아원","KOSPI","음식료·담배","1190","10","0.85","167962074000"
"007160","사조산업","KOSPI","음식료·담배","56500","1900","3.48","282500000000"
"014710","사조씨푸드","KOSPI","음식료·담배","8740","-80","-0.91","150490065820"
"006090","사조오양","KOSPI","음식료·담배","10780","20","0.19","101577126420"
"062040","산일전기","KOSPI","전기·전자","91700","1500","1.66","2791824840000"
"001470","삼부토건","KOSPI","건설","347","0","0.00","79699592928"
"028050","삼성E&A","KOSPI","일반서비스","25000","1300","5.49","4900000000000"
"448730","삼성FN리츠","KOSPI","부동산","4610","0","0.00","419740500000"
"006400","삼성SDI","KOSPI","전기·전자","170100","-4900","-2.80","13707598653000"
"006405","삼성SDI우","KOSPI","전기·전자","109500","-1900","-1.71","177159612000"
"006660","삼성공조","KOSPI","운송장비·부품","14250","120","0.85","115799974500"
"028260","삼성물산","KOSPI","유통","170700","4100","2.46","29014996060800"
"02826K","삼성물산우B","KOSPI","유통","123000","2200","1.82","180513570000"
"207940","삼성바이오로직스","KOSPI","제약","1018000","5000","0.49","72455132000000"
"032830","삼성생명","KOSPI","보험","133000","2600","1.99","26600000000000"
"018260","삼성에스디에스","KOSPI","IT 서비스","166500","2200","1.34","12883403700000"
"009150","삼성전기","KOSPI","전기·전자","135400","-1300","-0.95","10113526438400"
"009155","삼성전기우","KOSPI","전기·전자","62500","100","0.16","181686500000"
"005930","삼성전자","KOSPI","전기·전자","60400","-1000","-1.63","357546130488800"
"005935","삼성전자우","KOSPI","전기·전자","50500","-1000","-1.94","41206720532000"
"001360","삼성제약","KOSPI","제약","1699","18","1.07","159981372221"
"010140","삼성중공업","KOSPI","운송장비·부품","17770","450","2.60","15637600000000"
"016360","삼성증권","KOSPI","증권","75700","2300","3.13","6760010000000"
"068290","삼성출판사","KOSPI","오락·문화","18280","160","0.88","182800000000"
"029780","삼성카드","KOSPI","기타금융","52900","300","0.57","6128935333900"
"000810","삼성화재","KOSPI","보험","478500","15500","3.35","22016337667500"
"000815","삼성화재우","KOSPI","보험","340000","10000","3.03","1053833400000"
"006110","삼아알미늄","KOSPI","금속","18300","150","0.83","269228062800"
"145990","삼양사","KOSPI","음식료·담배","58400","1500","2.64","602305421600"
"145995","삼양사우","KOSPI","음식료·담배","38800","650","1.70","14358716000"
"003230","삼양식품","KOSPI","음식료·담배","1479000","43000","2.99","11141329185000"
"002170","삼양통상","KOSPI","섬유·의류","58900","2700","4.80","176700000000"
"272550","삼양패키징","KOSPI","화학","14160","170","1.22","217086549360"
"000070","삼양홀딩스","KOSPI","기타금융","95800","5200","5.74","834448751800"
"000075","삼양홀딩스우","KOSPI","기타금융","93000","3700","4.14","14694744000"
"003720","삼영","KOSPI","화학","3790","30","0.80","128860000000"
"002810","삼영무역","KOSPI","유통","18050","680","3.91","333328411400"
"005680","삼영전자","KOSPI","전기·전자","11330","160","1.43","226600000000"
"023000","삼원강재","KOSPI","운송장비·부품","2585","10","0.39","103400000000"
"004380","삼익THK","KOSPI","기계·장비","9960","0","0.00","209160000000"
"002450","삼익악기","KOSPI","기타제조","1366","32","2.40","123665229890"
"004440","삼일씨엔에스","KOSPI","비금속","5050","10","0.20","64296332350"
"000520","삼일제약","KOSPI","제약","10390","250","2.47","225377916290"
"009770","삼정펄프","KOSPI","종이·목재","30600","550","1.83","76499112600"
"005500","삼진제약","KOSPI","제약","20150","560","2.86","280085000000"
"004690","삼천리","KOSPI","전기·가스","158300","9500","6.38","641910457500"
